id,ref,nombre,usd,costoAntes,costoDespues,precioAntes,precioDespues
"7815","039712184-0000","16002-2RSR","6.778214999999999","86.42","86.42","172.84","172.84"
"7816","016700953-0000","16002-2Z","6.28038","80.07","80.07","160.14","160.14"
"7817","060450177-0000","16002-A","5.833605","74.38","74.38","148.76","148.76"
"7818","060450835-0000","16002-A-2Z","6.28038","80.07","80.07","160.14","160.14"
"7819","060450835-0030","16002-A-2Z-C3","6.28038","80.07","80.07","160.14","160.14"
"7820","060450177-0030","16002-A-C3","5.833605","74.38","74.38","148.76","148.76"
"7821","060462221-0000","16002-A-Z","6.663329999999999","84.96","84.96","169.92","169.92"
"7822","060462221-0030","16002-A-Z-C3","6.663329999999999","84.96","84.96","169.92","169.92"
"7823","060451114-0000","16003-A","5.769779999999999","73.56","73.56","147.12","147.12"
"7824","060456175-0000","16003-A-2RSR","6.880335","87.72","87.72","175.44","175.44"
"7825","060456175-0030","16003-A-2RSR-C3","6.880335","87.72","87.72","175.44","175.44"
"7826","060451769-0000","16003-A-2Z","6.3569700000000005","81.05","81.05","162.1","162.1"
"7827","060451114-0030","16003-A-C3","5.769779999999999","73.56","73.56","147.12","147.12"
"7828","060453036-0000","16004-A","6.203789999999999","79.1","79.1","158.2","158.2"
"7829","060453591-0000","16004-A-2Z","7.8377099999999995","99.93","99.93","199.86","199.86"
"7830","060453036-0030","16004-A-C3","6.203789999999999","79.1","79.1","158.2","158.2"
"7831","060456949-0000","16004-A-Z","7.263285000000001","92.61","92.61","185.22","185.22"
"7832","016700996-0030","16004-C3","6.203789999999999","79.1","79.1","158.2","158.2"
"7833","016701011-0000","16005","7.084574999999999","90.33","90.33","180.66","180.66"
"7834","060457295-0000","16005-A","7.084574999999999","90.33","90.33","180.66","180.66"
"7835","060457732-0000","16005-A-2Z","8.692965","110.84","110.84","221.68","221.68"
"7836","060457732-0030","16005-A-2Z-C3","8.692965","110.84","110.84","221.68","221.68"
"7837","060457295-0030","16005-A-C3","7.084574999999999","90.33","90.33","180.66","180.66"
"7838","016701011-0030","16005-C3","7.084574999999999","90.33","90.33","180.66","180.66"
"7839","060461500-0000","16006-A","8.386605000000001","106.93","106.93","213.86","213.86"
