codigo,nombre,grupo
"2000100000014","Alambre Magneto #22","ALAMBRE MAGNETO"
"2000100000021","Alambre Magneto#15","ALAMBRE MAGNETO"
"2000100000038","Alambre Magneto#16","ALAMBRE MAGNETO"
"2000100000045","Alambre Magneto#17","ALAMBRE MAGNETO"
"2000100000052","Alambre Magneto#18","ALAMBRE MAGNETO"
"2000100000069","Alambre Magneto#19","ALAMBRE MAGNETO"
"2000100000076","Alambre Magneto#20","ALAMBRE MAGNETO"
"2000100000083","Alambre Magneto#23","ALAMBRE MAGNETO"
"2000100000090","Alambre Magneto#24","ALAMBRE MAGNETO"
"2000100000106","Alambre Magneto#25","ALAMBRE MAGNETO"
"2000100000113","Alambre Magneto#26","ALAMBRE MAGNETO"
"2000100000120","Alambre Magneto#27","ALAMBRE MAGNETO"
"2000100000137","Alambre Magneto#29","ALAMBRE MAGNETO"
"2000100000144","Alambre Magneto#78","ALAMBRE MAGNETO"
"2000200000013","CABLE AUTOLAC CAL  N*12","CABLE"
"2000200000020","CABLE CALIBRE #8 CONDUMEX","CABLE"
"2000200000037","CABLE TERMAFLEX 150 CAL #6","CABLE"
"2000200000044","CABLE TERMAFLEX 150 CAL 10","CABLE"
"2000200000051","CABLE TERMAFLEX 150 CAL 14","CABLE"
"2000200000068","CABLE TERMAFLEX 150 CAL 4","CABLE"
"2000200000075","CABLE TERMAFLEX 150 CAL 8","CABLE"
"2000200000082","Cable Termaflex 150 Cal.8","CABLE"
"2000200000099","CABLE TERMAFLEX 150 CAL14","CABLE"
"2000200000105","CABLE TERMAFLEX 150 CAL14","CABLE"
"2000200000112","CABLE TERMAFLEX CALIBRE 8","CABLE"
"2000200000129","Cable THW Calibre N°14 Color Blanco","CABLE"
"2000200000136","Cable THW Calibre N°14 Color Negro","CABLE"
"2000200000143","Cable THW Calibre N°14 Color Verde","CABLE"
"2000200000150","CABLE USO RUDO 3X14 AWG 100 METROS","CABLE"
"2000200000167","CABLE USO RUDO 3X14 AWG 100 METROS","CABLE"
