capacidad,precio,fecha,folio,cliente,estado,concepto
"0.5 HP","2125","2026-04-10","S00189","ACUAGRANJAS DOS LAGOS","draft","SERVICIO DE EMBOBINADO DE MOTOR DE 0.5HP Incluye desarm"
"0.5 HP","2700","2026-07-09","S00211","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR DE 0.5HP Servicio de mantenimiento co"
"0.75 HP","2700","2026-07-09","S00210","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR DE 0.75HP Servicio de mantenimiento c"
"1 HP","2400","2026-01-30","S00031","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","sale","MX206816 SER EMBOBINADO MOTOR 1 HP EXT Servicio de rebo"
"1 HP","2700","2026-02-18","S00112","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 1HP Servicio de embobinado a estator "
"1 HP","3200","2026-07-02","S00221","Embotelladora Mexicana de Bebidas Refrescantes","sale","BOBINADO DE MOTOR 1HP Servicio de mantenimiento correct"
"1 HP","3200","2026-05-27","S00226","SERVICIOS FAGO","sale","BOBINADO DE MOTOR 1HP Bobinado de motor de 1hp Marca UR"
"1 HP","3200","2026-02-20","S00134","Impulsora Agrícola, Ganadera y Comercial, S.P.R. de R.L. de C.V.","draft","BOBINADO DE MOTOR 1HP Servicio de mantenimiento correct"
"1 HP","3900","2026-09-01","S00328","VIMIFOS","sale","BOBINADO DE MOTOR 1HP Servicio de mantenimiento correct"
"1 HP","6800","2026-06-08","S00258","Embotelladora Mexicana de Bebidas Refrescantes","draft","EMBOBINADO MOTOR 1HP El embobinado de un motor de 1 HP "
"1.3 HP","2200","2026-08-12","S00330","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206637Ser embobinado motor 1.3HP cambiar STD"
"1.5 KW","3500","2026-08-26","S00344","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 1.5KW Servicio de embobinado a estato"
"1.5 KW","3500","2026-07-09","S00219","INGENIO PRESIDENTE BENITO JUAREZ","sale","BOBINADO DE MOTOR 1.5KW Servicio de embobinado a estato"
"1.5 HP","5900","2026-05-21","S00238","Fanosa","draft","embobinado motor 1.5 hp Servicio de embobinado a estato"
"2 HP","2700","2026-02-19","S00113","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 2HP Servicio de mantenimiento correct"
"2 HP","3200","2026-05-29","S00232","Ajemex","sale","BOBINADO DE MOTOR 1/2hp Servicio de mantenimiento corre"
"2 HP","3500","2026-02-18","S00110","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 2HP Servicio de embobinado a estator "
"2 HP","3600","2026-02-24","S00142","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","MX206819Ser embobinado motor 2 HP cambiar EXT Servicio "
"2 HP","4300","2026-09-01","S00329","VIMIFOS","sale","BOBINADO DE MOTOR 2HP Servicio de mantenimiento correct"
"2 HP","4500","2026-03-21","S00168","VIMIFOS","draft","BOBINADO DE MOTOR 2HP Servicio de mantenimiento correct"
"3 HP","3500","2026-09-03","S00359","Jeymar Hdz","draft","REBOBINADO MOTOR 3 HP 4 POLOS Rebobinado de motor eléct"
"3 HP","3800","2026-05-28","S00246","Embotelladora Mexicana de Bebidas Refrescantes","draft","MX206640Ser embobinado motor 3 HP cambiar STD Servicio "
"3 HP","3800","2026-05-26","S00244","Embotelladora Mexicana de Bebidas Refrescantes","sent","MX206640Ser embobinado motor 3 HP cambiar STD Servicio "
"3 HP","3800","2026-03-10","S00091","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","sale","MX206640Ser embobinado motor 3 HP cambiar STD Servicio "
"3 HP","3800","2026-01-06","S00041","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","MX206640Ser embobinado motor 3 HP cambiar STD"
"3 HP","4000","2026-02-19","S00114","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 3HP Servicio de mantenimiento correct"
"3 HP","4500","2026-06-05","S00254","PUBLICO GENERAL","draft","BOBINADO DE MOTOR 3HP Servicio de mantenimiento correct"
"3 HP","4500","2026-05-07","S00229","CARLOS ALBERTO CONTRERAS CANTORAL","draft","BOBINADO DE MOTOR 3HP Servicio de embobinado de motor 3"
"3 HP","4500","2026-04-10","S00188","ACUAGRANJAS DOS LAGOS","draft","BOBINADO DE MOTOR 3HP Servicio de mantenimiento correct"
"3 HP","4500","2026-02-19","S00127","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOREDUCTOR 3HP Servicio de bobinado de mo"
"3 HP","4500","2026-02-19","S00119","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","BOBINADO DE MOTOR 3HP Servicio de mantenimiento correct"
"3 HP","4800","2026-02-16","S00101","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 3HP Servicio de bobinado de estator d"
"3 HP","5200","2026-07-25","S00267","Ajemex","sale","BOBINADO DE MOTOR 3HP Servicio de mantenimiento correct"
