sap,desc,usd,precio_mxn,familia,marca
"039761487-0000","=-T-11305-TVH","72.83709","1857.35","(otros)","FAG"
"038379791-0000","=-T-11307-TVH","135.730245","3461.12","(otros)","FAG"
"038379813-0000","=-T-11309-TVH","181.939545","4639.46","(otros)","FAG"
"039615588-0000","=-T-11506-TVH","97.71607499999999","2491.76","(otros)","FAG"
"038436736-0000","=-T-11507-TVH","122.92694999999999","3134.64","(otros)","FAG"
"038436744-0000","=-T-11510-TVH","187.760385","4787.89","(otros)","FAG"
"038903814-0000","=-T-1321-K-M","587.994195","14993.85","(otros)","FAG"
"039251292-4081","=-T-31309-A-N11CA-A60-100","121.56109500000002","3099.81","(otros)","FAG"
"039251373-4081","=-T-31315-N11CA-A100-140","262.205865","6686.25","(otros)","FAG"
"039251772-4080","=-T-32019-XA-N11CA-A170-220","286.62530999999996","7308.95","(otros)","FAG"
"016711750-0030","=-T-3201-B-TVH-C3","19.70916","502.58","(otros)","FAG"
"006157009-0000","=-T-3201-J","24.515460000000004","625.14","(otros)","INA"
"039251993-4080","=-T-32032-X-N11CA-A280-330","652.840395","16647.43","(otros)","FAG"
"006156487-0000","=-T-3203-J","24.410565000000002","622.47","(otros)","INA"
"038441497-0000","=-T-3204-BC-TNH","21.687734999999996","553.04","(otros)","FAG"
"006150985-0000","=-T-3204-J","25.459515","649.22","(otros)","INA"
"038441551-0000","=-T-3205-BC-TNH","23.015295000000002","586.89","(otros)","FAG"
"006152872-0000","=-T-3205-J","27.017955000000008","688.96","(otros)","INA"
"038441586-0000","=-T-3205-J","27.017955000000008","688.96","(otros)","INA"
"038441616-0030","=-T-3206-BC-JH-C3","27.253275000000002","694.96","(otros)","FAG"
"006159109-0000","=-T-3206-J","31.992975000000005","815.82","(otros)","INA"
"038441705-0000","=-T-3207-BC-JH","34.491029999999995","879.52","(otros)","FAG"
"006154492-0000","=-T-3209-J","56.748195","1447.08","(otros)","INA"
"038441810-0030","=-T-3210-BC-JH-C3","54.14913","1380.80","(otros)","FAG"
"038441861-0030","=-T-3213-BC-JH-C3","102.24765","2607.32","(otros)","FAG"
"038441870-0030","=-T-3214-BC-JH-C3","112.8426","2877.49","(otros)","FAG"
"039252663-4081","=-T-32224-A-N11CA-A230-280","718.13337","18312.40","(otros)","FAG"
"038474271-0000","=-T-3302-BC-TNH","26.42355","673.80","(otros)","FAG"
"006159508-0000","=-T-3302-J","31.018950000000004","790.98","(otros)","INA"
"006156495-0000","=-T-3303-J","32.592375000000004","831.11","(otros)","INA"
"006150993-0000","=-T-3304-J","34.58538","881.93","(otros)","INA"
"038442108-0000","=-T-3305-BC-TNH","33.59748","856.74","(otros)","FAG"
"006152880-0000","=-T-3305-J","39.44052000000001","1005.73","(otros)","INA"
"038442132-0030","=-T-3306-BC-JH-C3","41.971320000000006","1070.27","(otros)","FAG"
"038442159-0030","=-T-3307-BC-JH-C3","49.26013499999999","1256.13","(otros)","FAG"
