folio,cantidad,precio,concepto
"S00357","1","8500","BOBINADO DE MOTOR 10HP Servicio de mantenimiento correctivo en estator de m"
"S00357","1","1400","LIMPIEZA MECANICA Y PINTURA Limpieza de partes mecánicas y rasqueteado de l"
"S00357","1","2500","CAMBIO DE RODAMIENTOS DE MOTOR SUMINISTRO Y COLOCACION DE RODAMIENTOS Y SEL"
"S00357","1","300","CAMBIO DE TORNILLERIA Cambio de toda la tornillería dañada de Motor tuercas"
"S00253","1","15700","MX206644Ser embobinado motor 10 HP cambiar STD Servicio de mantenimiento co"
"S00253","1","1800","LIMPIEZA MECANICA Y PINTURA Servicio de Limpieza mecanica y pintura del mot"
"S00253","1","856.65","6209-2RSR C3 cambio de rodamientos de alta temperatura lado carga el rodami"
"S00253","1","1680","6206-2RSRL38C3 cambio de rodamientos de alta temperatura lado frontal el ro"
"S00329","1","4300","BOBINADO DE MOTOR 2HP Servicio de mantenimiento correctivo en estator de mo"
"S00329","1","1100","CAMBIO DE RODAMIENTOS DE MOTOR 2HP Cambio de Rodamientos de Motor lado carg"
"S00329","1","900","LIMPIEZA MECANICA Y PINTURA Servicio de Limpieza mecanica y pintura del mot"
"S00328","1","3900","BOBINADO DE MOTOR 1HP Servicio de mantenimiento correctivo en estator de mo"
"S00328","1","800","CAMBIO DE RODAMIENTOS DE MOTOR 1HP Cambio de Rodamientos de Motor lado carg"
"S00328","1","800","LIMPIEZA MECANICA Y PINTURA Servicio de Limpieza mecanica y pintura del mot"
"S00344","1","3500","BOBINADO DE MOTOR 1.5KW Servicio de embobinado a estator de motor 1.5KW: co"
"S00344","1","3200","BOBINADO DE MOTOR 3/4 HP Servicio de mantenimiento correctivo en estator de"
"S00344","2","1200","CAMBIO DE RODAMIENTOS DE MOTOR SUMINISTRO Y COLOCACION DE RODAMIENTOS"
"S00344","2","1300","LIMPIEZA MECANICA Y PINTURA Limpieado de partes mecanicas yrasqueteado de l"
"S00344","2","450","CAMBIO DE TORNILLERIA Cambio de toda la tornillería dañada de Motor y tuerc"
"S00344","2","850","CAMBIO DE VENTILADOR Cambio de Ventilador de Motor maquinando centro de acu"
"S00344","2","1400","AJUSTE TAPAS DE MOTOR Ajuste de Tapas de motor con relación a los alojamien"
"S00342","1","4560","MX206823Ser embobinado motor 5 HP cambiar EXT Bobinado de Bomba sumergible "
"S00342","2","1080","MX206841Ser rodamientos motor 5 HP cambiar EXT Servicio de Cambio de rodami"
"S00342","1","312","MX206967Ser estructura motor 5 HP pintar EXT Limpieza mecanica y estructura"
"S00342","1","1680","MX206877Ser eje rotor motor 5 HP reparar EXT Reparacion en tolerancia del e"
"S00342","1","1440","MX206931Ser caja conex motor 5 HP reparar EXT reparacion de caja de conecxi"
"S00342","2","750","MX208174Serv Especializado Traslado Motores"
"S00342","1","1560","MX206949Ser bornera motor 5 HP cambiar EXT"
"S00342","1","1080","MX206913Ser guar vent motor 5 HP cambiar EXT Colocacion de Guarda para evit"
"S00342","2","2400","MX206859Ser tapas motor 5 HP ajustar rod EXT Servicio de rectificacion de t"
"S00342","1","2640","MX206985Ser rotor motor 5 HP balancear EXT Rectificacion y balanceo para se"
"S00330","1","2200","MX206637Ser embobinado motor 1.3HP cambiar STD"
"S00330","1","190","MX206781Ser estructura motor 1.3 HP pintar STD"
"S00330","1","500","MX206653Ser rodamientos motor 1 HP cambiar STD"
"S00330","1","450","MX206708Ser ventilador motor 1 HP cambiar STD"
"S00330","1","1000","MX206672Ser tapas motor 1 HP ajustar rod STD"
"S00330","1","950","MX206690Ser eje rotor motor 1 HP reparar STD"
"S00330","1","520","MX206726Ser guar vent motor 1 HP cambiar STD"
"S00330","1","1100","MX206744Ser caja conex motor 1 HP reparar STD"
"S00164","1","13050","MX206827Ser embobinado motor 15 HP cambiar EXT Servicio de cambio de alambr"
"S00164","1","504","MX206971Ser estructura motor 15 HP pintar EXT Servicio de limpieza mecanica"
"S00164","1","2400","MX206953Ser bornera motor 15 HP cambiar EXT Cambio de bornera motor 15 hp."
"S00164","1","4680","MX206935Ser caja conex motor 15 HP reparar EXT reparación de caja de conexi"
"S00164","1","3000","MX206881Ser eje rotor motor 15 HP reparar EXT Reparación de eje de motor 15"
"S00164","1","1920","MX206917Ser guar vent motor 15 HP cambiar EXT Cambio de guarda de veleta 15"
"S00164","1","1920","MX206845Ser rodamientos motor 15 HP cambiar EXT cambio de rodamientos 2zc3"
"S00164","1","3480","MX206989Ser rotor motor 15 HP balancear EXT Servicio de rotor"
"S00323","2","8010","MANTENIMIENTO MOTOR 10 HP Servicio de mantenimiento de Motor de 10 hp costa"
"S00323","1","5830","MANTENIMIENTO MOTOR 5HP Servicio de mantenimiento de Motor de 5hp costa de "
"S00323","2","4200","Mantenimiento motor .75hp Servicio Mantenimiento de Motor de .75 hp el serv"
"S00322","1","135000","EMBOBINADO DE MOTOR WEG 300KW Servicio de embobinado de motor marca WEG 300"
"S00322","1","10740","63222ZC3 Cambio de rodamiento 6322 marca FAG el servicio se realiza con cal"
"S00322","1","6840","63192RSRC3 Cambio de rodamiento 6319 marca FAG el servicio se realiza con c"
"S00322","1","12500","BALANCEO DE ROTOR MOTOR Balanceo dinamico de Rotor de Motor incluye reporte"
"S00322","1","2500","CAMBIO DE TORNILLERIA Cambio de toda la tornilleria dañada de Motor tuercas"
"S00322","1","2340","LIMPIEZA MECANICA Y PINTURA Limpieado de partes mecanicas y rasqueteado de "
"S00298","1","10250","Mantenimiento a Estator 125hp servicio de mantenimiento de estator principa"
"S00298","1","12800","CAMBIO DE RODAMIENTOS DE MOTOR Servicio por cambio de rodamientos a motor e"
"S00298","1","2850","LIMPIEZA MECANICA Y PINTURA Limpieado de partes mecanicas y rasqueteado de "
"S00129","1","5200","BOBINADO DE MOTOR 3/4 HP Servicio de mantenimiento correctivo en estator de"
"S00129","1","900","CAMBIO DE RODAMIENTOS 3/4 HP"
"S00129","1","800","LIMPIEZA MECANICA Y PINTURA Servicio de Limpieza mecanica y pintura del mot"
"S00129","1","1200","AJUSTE TAPAS DE MOTOR Ajuste de Tapas de motor a relacion con alojamientos "
"S00129","1","250","CAMBIO DE TORNILLERIA Cambio de toda la tornilleria dañada de Motor tuercas"
"S00295","1","135000","EMBOBINADO DE MOTOR WEG 300KW Servicio de embobinado de motor marca WEG 300"
"S00295","1","10740","63222ZC3 Cambio de rodamiento 6322 marca FAG el servicio se realiza con cal"
"S00295","1","6840","63192RSRC3 Cambio de rodamiento 6319 marca FAG el servicio se realiza con c"
"S00295","1","12500","BALANCEO DE ROTOR MOTOR Balanceo dinamico de Rotor de Motor incluye reporte"
"S00295","1","2500","CAMBIO DE TORNILLERIA Cambio de toda la tornilleria dañada de Motor tuercas"
"S00295","1","2340","LIMPIEZA MECANICA Y PINTURA Limpieado de partes mecanicas y rasqueteado de "
"S00267","1","5200","BOBINADO DE MOTOR 3HP Servicio de mantenimiento correctivo en estator de mo"
"S00267","1","1200","cambio de Rodamientos motor 3hp Cambio de rodamientos del equipo usando cal"
"S00291","1","3500","Mantenimiento motor 5hp Servicio Mantenimiento de Motor de 5 hp el servicio"
"S00291","1","450","6205-2RSRL038C3"
"S00291","1","580","6206-2RSRL38C3"
"S00291","1","450","CAMBIO DE TORNILLERIA Cambio de toda la tornilleria dañada de Motor tuercas"
"S00291","1","850","LIMPIEZA MECANICA Y PINTURA Limpieado de partes mecanicas y rasqueteado de "
"S00313","1","9500","BOBINADO DE MOTOR 7.5HP Servicio de mantenimiento correctivo en estator de "
"S00313","1","1300","CAMBIO DE RODAMIENTOS MOTOR 7.5HP"
"S00313","1","1800","LIMPIEZA MECANICA Y PINTURA Limpieado de partes mecanicas yrasqueteado de l"
"S00313","1","450","CAMBIO DE TORNILLERIA Cambio de toda la tornilleria dañada de Motor tuercas"
"S00312","1","9800","BOBINADO DE MOTOR 10HP Servicio de mantenimiento correctivo en estator de m"
"S00312","1","1800","CAMBIO DE RODAMIENTOS DE MOTOR 10HP"
"S00312","1","1800","LIMPIEZA MECANICA Y PINTURA Limpieado de partes mecanicas yrasqueteado de l"
"S00312","1","450","CAMBIO DE TORNILLERIA Cambio de toda la tornilleria dañada de Motor tuercas"
"S00219","1","3500","BOBINADO DE MOTOR 1.5KW Servicio de embobinado a estator de motor 1.5KW: co"
"S00219","1","900","LIMPIEZA MECANICA Y PINTURA Limpieza de partes mecánicas y rasqueteado de l"
"S00219","1","1000","AJUSTE TAPAS DE MOTOR Ajuste de Tapas de motor con relación a los alojamien"
"S00219","1","1000","CAMBIO DE RODAMIENTOS DE MOTOR SUMINISTRO Y COLOCACION DE RODAMIENTOS Y SEL"
"S00219","1","300","CAMBIO DE TORNILLERIA Cambio de toda la tornillería dañada de Motor tuercas"
"S00219","1","600","CAMBIO DE VENTILADOR Cambio de Ventilador de Motor maquinando centro de acu"
"S00217","1","23000","BOBINADO DE MOTOR 30HP Servicio de mantenimiento correctivo en estator de m"
"S00217","1","1400","LIMPIEZA MECANICA Y PINTURA Limpieza de partes mecánicas y rasqueteado de l"
"S00217","1","1800","AJUSTE TAPAS DE MOTOR Ajuste de Tapas de motor con relación a los alojamien"
"S00217","1","300","CAMBIO DE TORNILLERIA Cambio de toda la tornilleria dañada de Motor tuercas"
"S00217","1","3500","CAMBIO DE RODAMIENTOS DE MOTOR 30HP Cambio de Rodamientos de Motor lado car"
"S00217","1","1000","CAMBIO DE VENTILADOR Cambio de Ventilador de Motor maquinando centro deacue"
"S00207","1","50000","BOBINADO DE MOTOR 50HP Servicio de bobinado en estator de motor 50HP consis"
"S00207","1","1400","LIMPIEZA MECANICA Y PINTURA Limpieado de partes mecanicas yrasqueteado de l"
"S00207","1","4000","CAMBIO DE RODAMIENTO DE MOTOR 50 HP Desmontaje y extracción segura, reposic"
"S00207","1","1800","AJUSTE DE TAPA DE MOTOR 50HP Ajuste de Tapas de motor a relación con alojam"
"S00207","1","300","CAMBIO DE TORNILLERIA Cambio de toda la tornilleria dañada de Motor tuercas"
"S00207","1","600","CAMBIO DE VENTILADOR Cambio de Ventilador de Motor maquinando centro deacue"
