folio,hp,rpm,armazon,rodamientos
"S00253","10","","","6209-2RSR C3 + 6206-2RSRL38C3"
"S00276","10","","","6307-2RSR-L038-C3 + 6206-2RSRL38C3"
"S00278","10","","","6307-2RSR-L038-C3 + 6206-2RSRL38C3"
"S00292","7.5","","","6208-2RSR-L038"
"S00293","7.5","","","6208-2RSR-L038"
"S00291","5","","","6205-2RSR-L038-C3 + 6206-2RSRL38C3"
"S00305","5","","","6206-2RSRL38C3"
"S00294","10","","","6307-2RSRL038C3 + 6206-2RSRL38C3"
"S00269","5","","","6307-2RSRL038C3 + 6206-2RSRL38C3"
"S00277","10","","","6206-2RSRL38C3 + 6208-2RSR-L038"
"S00251","2","","","6205-2RSR-L038-C3 + 6204-2RSR-L038-C3"
"S00258","1","","","6304-2Z SKF + 6206-2RSRL38C3"
"S00254","3","","","6305-C-2HRS-L038 C3 + 6205-2RSR-L038-C3"
"S00252","50","3200","","6312-2RSR C3 + 6210-2RSR-L038-C3"
"S00231","25","","","6310-2RSR-L038-C3"
"S00238","1.5","","","6205-2RSR-L038-C3 + 6203-2RSR-L038-C3"
"S00237","20","","","6309-2RSR-L038-C3 + 6207-2RSR-L038 C3"
