referencia,nombre,categoria,cantidad,costo_unitario,valor_costo,precio_venta,valor_venta
"","Alambre Magneto#18","","95.5","465.7","44474.35","585","55867.5"
"","Alambre Magneto#17","","92.4","465.7","43030.68","585","54054"
"","Alambre Magneto#78","","28.4","465.7","13225.88","585","16614"
"","Alambre Magneto#15","","26.7","465.7","12434.19","585","15619.5"
"","Alambre Magneto#19","","19.23","465.7","8955.41","585","11249.55"
"016723945-0030","6313-2RSR C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","6","1033.81","6202.86","2067.62","12405.72"
"","Alambre Magneto#16","","12.73","465.7","5928.36","585","7447.05"
"019005008-0030","NU319-E-XL-M1 C3","Todos/Rodamientos/Rodillos/NU","1","4568.99","4568.99","9137.98","9137.98"
"016724097-0030","6315-2RSR C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","3","1512.31","4536.93","3024.62","9073.86"
"016723732-0030","6311-2RSRC3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","7","581.36","4069.52","1162.72","8139.04"
"016721047-0030","6213-2RSR C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","6","596.66","3579.96","1193.32","7159.92"
"","BARNIZ S/AIRE CLARO EMP 1 LT K-1205","","18.8","181.35","3409.38","285","5358"
"016721268-0030","6215-2RSR C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","4","801.4","3205.6","1602.8","6411.2"
"016723830-0030","6312-2RSR C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","4","755.5","3022","1511","6044"
"016724020-0030","6314-2RSR C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","2","1238.39","2476.78","2476.78","4953.56"
"016738004-0030","NU 217-E-XL-TVP2 C3","Todos/Rodamientos/Rodillos/NU","2","1225.54","2451.08","2451.08","4902.16"
"016721446-0030","6217-2RSR C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","2","1148.72","2297.44","2297.44","4594.88"
"","HYDRAULIC CRIMPING TOOL","","1","2215","2215","1","1"
"","Thinner estandar  12X960 ML","","47","44","2068","132","6204"
"016724160-0030","6316-2RSR C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","1","1808.52","1808.52","3617.04","3617.04"
"","Thinner americano  12x960 ML","","36","49","1764","147","5292"
"","Alambre Magneto#27","","3.4","465.7","1583.38","585","1989"
"038898713-0030","6310-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","4","384.59","1538.36","769.18","3076.72"
"038897210-0030","6211-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","5","264.31","1321.55","528.62","2643.1"
"016720539-0030","6209-2RSR C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","7","175.77","1230.39","351.54","2460.78"
"","TINNER W","","19","58","1102","80","1520"
"","BARNIZ S/AIRE ROJO EMP 1 LT K-1201","","5","218.96","1094.8","398","1990"
"","HILO DE ALGODON 3.5 MM","","13","77","1001","231","3003"
"","6305-C-2HRS-L038 C3","","5","200.15","1000.75","600.45","3002.25"
"038897334-0030","6212-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","3","323.23","969.69","646.46","1939.38"
"","Alambre Magneto#25","","2","465.7","931.4","585","1170"
"","Alambre Magneto#24","","1.9","465.7","884.83","585","1111.5"
"039048110-0030","6209-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","5","175.77","878.85","351.54","1757.7"
"038898420-0030","6307-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","5","168.61","843.05","337.22","1686.1"
"038898519-0030","6308-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","4","206.53","826.12","413.06","1652.24"
"55671","ADYDSOL 303 CUB 19 L","Consumibles","19","43","817","86","1634"
"","NU 213-ETVP 2","","1","800.7","800.7","1441.26","1441.26"
"","CABLE TERMAFLEX CALIBRE 8","","3","256.29","768.87","768.87","2306.61"
"038898349-0030","6306-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","6","127.44","764.64","254.88","1529.28"
"","Alambre Magneto #22","","1.5","465.7","698.55","585","877.5"
"038897156-0030","6210-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","3","208.32","624.96","416.64","1249.92"
"038898616-0030","6309-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","2","274.89","549.78","549.78","1099.56"
"095562389-0030","6305-C-2HRS-L038-C3>V","Todos/Rodamientos/Bola/Sello de hule (2HRS)","5","94.89","474.45","189.78","948.9"
"","Alambre Magneto#20","","1","465.7","465.7","585","585"
"038896893-0030","6207-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","4","112.3","449.2","224.6","898.4"
"","Alambre Magneto#23","","0.9","465.7","419.13","585","526.5"
"","6206-2RSRL38C3","","4","90.73","362.92","145.16","580.64"
"","6204-2RSRL38C3","","6","59.4","356.4","95.4","572.4"
"038896630-0030","6205-2RSR-L038-C3","","5","69.17","345.85","138.34","691.7"
"","BARNIZ S/AIRE CLARO EMP 1 LT K-1205","","2","164.35","328.7","493.05","986.1"
"","6304-2Z SKF","","2","157.27","314.54","471.81","943.62"
"038896990-0030","6208-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","2","148.92","297.84","297.84","595.68"
"095220844-0030","6004-C-2HRS-L038-C3>V","Todos/Rodamientos/Bola/Sello de hule (2HRS)","5","53.87","269.35","107.74","538.7"
"039010635-0030","6202-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","5","52.24","261.2","104.48","522.4"
"038896370-0030","6203-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","6","40.53","243.18","81.06","486.36"
"","Alambre Magneto#29","","0.5","465.7","232.85","585","292.5"
"","Veleta#26","","2","109.85","219.7","450","900"
"096126124-0030","6202-C-2HRS-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2HRS)","4","52.24","208.96","104.48","417.92"
"016719328-0030","6201-2RSR-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","5","41.18","205.9","82.36","411.8"
"","6201-2RSR C3","","5","41.1","205.5","69.87","349.35"
"038688867-0030","6204-2RSR-L038-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","3","59.41","178.23","118.82","356.46"
"094983429-0030","6204-C-2HRS-L038-C3>V","Todos/Rodamientos/Bola/Sello de hule (2HRS)","3","59.41","178.23","118.82","356.46"
"","Alambre Magneto#26","","0.3","465.7","139.71","585","175.5"
"","CABLE AUTOLAC CAL  N*12","","4","30.4","121.6","91.2","364.8"
"","Veleta#61","","1","115.05","115.05","450","450"
"054565561-0030","6002-2RSR-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","2","46.87","93.74","93.74","187.48"
"","Veleta#31","","1","92.85","92.85","0","0"
"","6002-2RSR C3","","2","45.56","91.12","136.68","273.36"
"","Veleta#93","","1","81.25","81.25","450","450"
"","Veleta#94","","1","81.25","81.25","450","450"
"016719557-0030","6203-2RSR-C3","Todos/Rodamientos/Bola/Sello de hule (2RSR)","2","40.53","81.06","81.06","162.12"
"12591","CINTA MASKI TRUPER MSK-1","Consumibles","2","34.48","68.96","68.96","137.92"
"","Veleta#1042","","1","52.98","52.98","0","0"
"","6201-2Z/C3 SKF","","6","0","0","86.18","517.08"
"","6205-2RS-C3 TIMKEN","","1","0","0","220.13","220.13"
"","6207-2RS1/C3GJN SKF","","2","0","0","368.64","737.28"
"","6306-2Z/C3GJN SKF","","1","0","0","545.35","545.35"
"","6307-2RS1 SKF","","2","0","0","340.45","680.9"
"","75X105X10 TCFPM RETEN VITON","","1","0","0","577.59","577.59"
"","CABLE TERMAFLEX 150 CAL #6","","15","0","0","187.5","2812.5"
"","CEPILLO DE ALAMBRE 4X16 CON MANGO","","1","0","0","54.4","54.4"
"","Cuña de madera media luna","","7","0","0","64.44","451.08"
"","ESPAGUETI TIBULAR  6.0MM","","100","0","0","10.84","1084"
"","ESTERMAT DMD 3-5-3 11 MLS PAPEL","","4","0","0","309.4","1237.6"
"","Espagueti fibra de vidrio 15mm","","20","0","0","30","600"
"","Espagueti fibra de vidrio 19mm","","2","0","0","30","60"
"","Espagueti fibra de vidrio10mm","","60","0","0","30","1800"
"","LIJA DE ALUMINIO FANDELI N100","","4","0","0","16.39","65.56"
"","LIJA DE OXIDO DE ALUMINIO FANDELI N50","","4","0","0","18.97","75.88"
"","LIJA DE OXIDO DE ALUMINIO N60","","4","0","0","21.55","86.2"
"","NU 217-ETVP2 C3","","1","0","0","1261.1","1261.1"
"","OJILLO 12-10 AMAR 5/32","","50","0","0","1","50"
"","PAPEL DMD DEL N*9","","3.24","0","0","1","3.24"
"","THINNER ESTANDAR 1 LITRO","","4","0","0","32.76","131.04"
"","TRAPO TRICOLOR KG","","2","0","0","45.38","90.76"
"","Veleta.16","","1","0","0","450","450"
"","Ventilador.25","","1","0","0","450","450"
