sap,desc,familia,usd,costo,precio,marca
"016700228-0000","1200-TVH","Autoalineantes","10.13541","129.23","258.45","FAG"
"016700228-0030","1200-TVH-C3","Autoalineantes","10.13541","129.23","258.45","FAG"
"016700236-0000","1201-TVH","Autoalineantes","10.39071","132.48","264.96","FAG"
"097243400-0000","1201-TVH>N","Autoalineantes","10.39071","132.48","264.96","FAG"
"016700236-0030","1201-TVH-C3","Autoalineantes","10.39071","132.48","264.96","FAG"
"097243400-0030","1201-TVH-C3>N","Autoalineantes","10.39071","132.48","264.96","FAG"
"016700244-0000","1202-TVH","Autoalineantes","11.003429999999998","140.29","280.59","FAG"
"097243639-0000","1202-TVH>N","Autoalineantes","11.003429999999998","140.29","280.59","FAG"
"016700244-0030","1202-TVH-C3","Autoalineantes","11.003429999999998","140.29","280.59","FAG"
"097243639-0030","1202-TVH-C3>N","Autoalineantes","11.003429999999998","140.29","280.59","FAG"
"016700252-0000","1203-TVH","Autoalineantes","11.922509999999999","152.01","304.02","FAG"
"097244139-0000","1203-TVH>N","Autoalineantes","11.922509999999999","152.01","304.02","FAG"
"016700252-0030","1203-TVH-C3","Autoalineantes","11.922509999999999","152.01","304.02","FAG"
"097244139-0030","1203-TVH-C3>N","Autoalineantes","11.922509999999999","152.01","304.02","FAG"
"038902885-0030","1204-K-TVH-C3","Autoalineantes","13.671315","174.31","348.62","FAG"
"016700260-0000","1204-TVH","Autoalineantes","13.671315","174.31","348.62","FAG"
"096891742-0000","1204-TVH>N","Autoalineantes","13.671315","174.31","348.62","FAG"
"016700260-0030","1204-TVH-C3","Autoalineantes","13.671315","174.31","348.62","FAG"
"038902907-0030","1205-K-TVH-C3","Autoalineantes","14.462745","184.4","368.8","FAG"
"016700287-0000","1205-TVH","Autoalineantes","14.462745","184.4","368.8","FAG"
"096891750-0000","1205-TVH>N","Autoalineantes","14.462745","184.4","368.8","FAG"
"016700287-0030","1205-TVH-C3","Autoalineantes","14.462745","184.4","368.8","FAG"
"096891750-0030","1205-TVH-C3>N","Autoalineantes","14.462745","184.4","368.8","FAG"
"038527316-0030","1206-K-TVH-C3","Autoalineantes","17.449755","222.48","444.97","FAG"
"016700309-0000","1206-TVH","Autoalineantes","17.449755","222.48","444.97","FAG"
"096891769-0000","1206-TVH>N","Autoalineantes","17.449755","222.48","444.97","FAG"
"016700309-0030","1206-TVH-C3","Autoalineantes","17.449755","222.48","444.97","FAG"
"096891769-0030","1206-TVH-C3>N","Autoalineantes","17.449755","222.48","444.97","FAG"
"016700309-0040","1206-TVH-C4","Autoalineantes","20.730359999999997","264.31","528.62","FAG"
"038902940-0030","1207-K-TVH-C3","Autoalineantes","20.002755","255.04","510.07","FAG"
"016700325-0000","1207-TVH","Autoalineantes","20.002755","255.04","510.07","FAG"
"016700325-0030","1207-TVH-C3","Autoalineantes","20.002755","255.04","510.07","FAG"
"038527332-0030","1208-K-TVH-C3","Autoalineantes","23.500365000000002","299.63","599.26","FAG"
"016700341-0000","1208-TVH","Autoalineantes","23.500365000000002","299.63","599.26","FAG"
"016700341-0030","1208-TVH-C3","Autoalineantes","23.500365000000002","299.63","599.26","FAG"
"038527340-0030","1209-K-TVH-C3","Autoalineantes","26.334194999999998","335.76","671.52","FAG"
"016700368-0000","1209-TVH","Autoalineantes","26.334194999999998","335.76","671.52","FAG"
"016700368-0030","1209-TVH-C3","Autoalineantes","26.334194999999998","335.76","671.52","FAG"
"038902966-0030","1210-K-TVH-C3","Autoalineantes","30.087105","383.61","767.22","FAG"
"016700384-0000","1210-TVH","Autoalineantes","30.087105","383.61","767.22","FAG"
"016700384-0030","1210-TVH-C3","Autoalineantes","30.087105","383.61","767.22","FAG"
"039056244-0000","1211-K-TVH","Autoalineantes","37.133385","473.45","946.9","FAG"
"039056244-0030","1211-K-TVH-C3","Autoalineantes","37.133385","473.45","946.9","FAG"
"016700406-0000","1211-TVH","Autoalineantes","37.133385","473.45","946.9","FAG"
"016700406-0030","1211-TVH-C3","Autoalineantes","37.133385","473.45","946.9","FAG"
"097258857-0030","1211-TVH-C3>N","Autoalineantes","37.133385","473.45","946.9","FAG"
"038903008-0030","1212-K-TVH-C3","Autoalineantes","41.51178000000001","529.28","1058.55","FAG"
"016700422-0000","1212-TVH","Autoalineantes","41.51178000000001","529.28","1058.55","FAG"
"097259110-0000","1212-TVH>N","Autoalineantes","41.51178000000001","529.28","1058.55","FAG"
"016700422-0030","1212-TVH-C3","Autoalineantes","41.51178000000001","529.28","1058.55","FAG"
"097259110-0030","1212-TVH-C3>N","Autoalineantes","41.51178000000001","529.28","1058.55","FAG"
"038903016-0000","1213-K-TVH","Autoalineantes","49.97497499999999","637.18","1274.36","FAG"
"038903016-0030","1213-K-TVH-C3","Autoalineantes","49.97497499999999","637.18","1274.36","FAG"
"019000014-0000","1213-TVH","Autoalineantes","49.97497499999999","637.18","1274.36","FAG"
"019000014-0030","1213-TVH-C3","Autoalineantes","49.97497499999999","637.18","1274.36","FAG"
"038903024-0030","1214-K-TVH-C3","Autoalineantes","55.770284999999994","711.07","1422.14","FAG"
"016700449-0000","1214-TVH","Autoalineantes","55.770284999999994","711.07","1422.14","FAG"
"097259209-0000","1214-TVH>N","Autoalineantes","55.770284999999994","711.07","1422.14","FAG"
"016700449-0030","1214-TVH-C3","Autoalineantes","55.770284999999994","711.07","1422.14","FAG"
"097259209-0030","1214-TVH-C3>N","Autoalineantes","55.770284999999994","711.07","1422.14","FAG"
"038903270-0030","1215-K-TVH-C3","Autoalineantes","66.926895","853.32","1706.64","FAG"
"016700465-0000","1215-TVH","Autoalineantes","66.926895","853.32","1706.64","FAG"
"016700465-0030","1215-TVH-C3","Autoalineantes","66.926895","853.32","1706.64","FAG"
"038903300-0030","1216-K-TVH-C3","Autoalineantes","79.079175","1008.26","2016.52","FAG"
"016700490-0000","1216-TVH","Autoalineantes","79.079175","1008.26","2016.52","FAG"
"016700490-0030","1216-TVH-C3","Autoalineantes","79.079175","1008.26","2016.52","FAG"
"097259420-0030","1216-TVH-C3>N","Autoalineantes","79.079175","1008.26","2016.52","FAG"
"038903326-0030","1217-K-TVH-C3","Autoalineantes","98.78833499999998","1259.55","2519.1","FAG"
"016700511-0000","1217-TVH","Autoalineantes","98.78833499999998","1259.55","2519.1","FAG"
"016700511-0030","1217-TVH-C3","Autoalineantes","98.78833499999998","1259.55","2519.1","FAG"
"097259446-0030","1217-TVH-C3>N","Autoalineantes","98.78833499999998","1259.55","2519.1","FAG"
"038436922-0000","1218-K-TVH","Autoalineantes","119.09745","1518.49","3036.98","FAG"
"038436922-0030","1218-K-TVH-C3","Autoalineantes","119.09745","1518.49","3036.98","FAG"
"019005733-0000","1218-TVH","Autoalineantes","119.09745","1518.49","3036.98","FAG"
"019005733-0030","1218-TVH-C3","Autoalineantes","119.09745","1518.49","3036.98","FAG"
"019005733-0050","1218-TVH-C5","Autoalineantes","129.449865","1650.49","3300.97","FAG"
"038436930-0030","1219-K-M-C3","Autoalineantes","162.49845","2071.86","4143.71","FAG"
"019005741-0000","1219-M","Autoalineantes","162.49845","2071.86","4143.71","FAG"
"038903393-0030","1220-K-M-C3","Autoalineantes","184.824435","2356.51","4713.02","FAG"
"016700554-0000","1220-M","Autoalineantes","184.824435","2356.51","4713.02","FAG"
"016700554-0030","1220-M-C3","Autoalineantes","184.824435","2356.51","4713.02","FAG"
"019010052-0000","1221-M","Autoalineantes","218.63891999999998","2787.65","5575.29","FAG"
"038436965-0030","1222-K-M-C3","Autoalineantes","243.90085500000004","3109.74","6219.47","FAG"
"019000022-0000","1222-M","Autoalineantes","243.90085500000004","3109.74","6219.47","FAG"
"019000022-0030","1222-M-C3","Autoalineantes","243.90085500000004","3109.74","6219.47","FAG"
"016700570-0000","1224-M","Autoalineantes","485.414655","6189.04","12378.07","FAG"
"016700570-0030","1224-M-C3","Autoalineantes","485.414655","6189.04","12378.07","FAG"
"016702590-0000","2200-2RS-TVH","Autoalineantes","17.781645","226.72","453.43","FAG"
"016702603-0000","2200-TVH","Autoalineantes","15.815835","201.65","403.3","FAG"
"016702603-0030","2200-TVH-C3","Autoalineantes","15.815835","201.65","403.3","FAG"
"016702611-0000","2201-2RS-TVH","Autoalineantes","18.241184999999998","232.58","465.15","FAG"
"096713658-0000","2201-2RS-TVH>N","Autoalineantes","18.241184999999998","232.58","465.15","FAG"
"016702620-0000","2201-TVH","Autoalineantes","16.23708","207.02","414.05","FAG"
"097244031-0000","2201-TVH>N","Autoalineantes","16.23708","207.02","414.05","FAG"
"016702620-0030","2201-TVH-C3","Autoalineantes","16.23708","207.02","414.05","FAG"
"097244031-0030","2201-TVH-C3>N","Autoalineantes","16.23708","207.02","414.05","FAG"
"016702638-0000","2202-2RS-TVH","Autoalineantes","18.815610000000003","239.9","479.8","FAG"
"096996536-0000","2202-2RS-TVH>N","Autoalineantes","18.815610000000003","239.9","479.8","FAG"
"016702638-0030","2202-2RS-TVH-C3","Autoalineantes","18.815610000000003","239.9","479.8","FAG"
"016702654-0000","2202-TVH","Autoalineantes","15.943484999999999","203.28","406.56","FAG"
"097247154-0000","2202-TVH>N","Autoalineantes","15.943484999999999","203.28","406.56","FAG"
"016702654-0030","2202-TVH-C3","Autoalineantes","15.943484999999999","203.28","406.56","FAG"
"097247154-0030","2202-TVH-C3>N","Autoalineantes","15.943484999999999","203.28","406.56","FAG"
"016702662-0000","2203-2RS-TVH","Autoalineantes","20.564415","262.2","524.39","FAG"
"096996544-0000","2203-2RS-TVH>N","Autoalineantes","20.564415","262.2","524.39","FAG"
"016702670-0000","2203-TVH","Autoalineantes","16.23708","207.02","414.05","FAG"
"097247162-0000","2203-TVH>N","Autoalineantes","16.23708","207.02","414.05","FAG"
"016702670-0030","2203-TVH-C3","Autoalineantes","16.23708","207.02","414.05","FAG"
"097247162-0030","2203-TVH-C3>N","Autoalineantes","16.23708","207.02","414.05","FAG"
"016702689-0000","2204-2RS-TVH","Autoalineantes","22.325984999999996","284.66","569.31","FAG"
